Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure AirportArrival Airport,Departure Airport,Arrival Airport
2020-08-08,2020-08-09,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-08,2020-08-08,02:25:00,09:50:00,6H25M,direct,1770.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-09,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-10,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-09,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-09,2020-08-10,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-09,2020-08-09,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-10,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-10,2020-08-11,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-10,2020-08-10,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-11,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-10,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-01,2020-08-01,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-01,2020-08-01,07:40:00,11:20:00,2H40M,direct,226.20,THAI LION AIR,,DMK,SIN
2020-08-01,2020-08-01,17:00:00,20:25:00,2H25M,direct,260.00,SCOOT,,DMK,SIN
2020-08-01,2020-08-01,15:15:00,18:35:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-01,2020-08-01,08:40:00,12:05:00,2H25M,direct,312.00,SCOOT,,BKK,SIN
2020-08-02,2020-08-02,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-02,2020-08-02,15:50:00,19:30:00,2H40M,direct,226.20,THAI LION AIR,,DMK,SIN
